Hour,Temperature,Apparent Temperature,Wind,Relative Humidity,Date
01:51,-4°C,-4°C,Calme,36%,2016-01-12
02:51,-4°C,-4°C,Calme,39%,2016-01-12
03:51,-3°C,-7°C,270°9 Km/h,36%,2016-01-12
04:51,-3°C,-6°C,Variable à 7 Km/h,43%,2016-01-12
05:51,-3°C,-3°C,Calme,43%,2016-01-12
06:51,-3°C,-3°C,Calme,43%,2016-01-12
07:51,-2°C,-2°C,Calme,43%,2016-01-12
08:51,-2°C,-2°C,Calme,47%,2016-01-12
09:51,1°C,-2°C,160°11 Km/h,44%,2016-01-12
10:51,3°C,3°C,Calme,48%,2016-01-12
11:51,4°C,2°C,"Variable à 9 Km/h, 37 km/h Rafales de Vent",39%,2016-01-12
12:51,6°C,3°C,180°17 Km/h,36%,2016-01-12
13:51,6°C,3°C,160°13 Km/h,39%,2016-01-12
14:51,7°C,5°C,220°13 Km/h,31%,2016-01-12
15:51,6°C,3°C,210°19 Km/h,42%,2016-01-12
16:51,3°C,-1°C,260°15 Km/h,70%,2016-01-12
17:51,2°C,0°C,250°7 Km/h,75%,2016-01-12
18:51,3°C,3°C,Calme,70%,2016-01-12
19:51,3°C,0°C,Variable à 9 Km/h,65%,2016-01-12
20:51,3°C,0°C,"Variable à 11 Km/h, 33 km/h Rafales de Vent",60%,2016-01-12
21:51,1°C,-5°C,280°26 Km/h,56%,2016-01-12
22:51,0°C,-7°C,280°33 Km/h,55%,2016-01-12
23:51,-1°C,-6°C,290°17 Km/h,43%,2016-01-12
00:51,-3°C,-10°C,280°24 Km/h,43%,2016-01-13
01:51,-3°C,-9°C,290°22 Km/h,43%,2016-01-13
02:51,-4°C,-10°C,290°19 Km/h,46%,2016-01-13
03:51,-4°C,-10°C,300°20 Km/h,46%,2016-01-13
04:51,-5°C,-12°C,280°22 Km/h,50%,2016-01-13
05:51,-5°C,-11°C,270°17 Km/h,50%,2016-01-13
06:51,-6°C,-12°C,290°17 Km/h,54%,2016-01-13
07:51,-6°C,-10°C,"Variable à 9 Km/h, 28 km/h Rafales de Vent",54%,2016-01-13
08:51,-5°C,-12°C,270°20 Km/h,50%,2016-01-13
09:51,-4°C,-10°C,290°17 Km/h,42%,2016-01-13
10:51,-4°C,-11°C,270°24 Km/h,39%,2016-01-13
11:51,-3°C,-6°C,"Variable à 7 Km/h, 37 km/h Rafales de Vent",33%,2016-01-13
12:51,-2°C,-7°C,310°15 Km/h,31%,2016-01-13
13:51,-2°C,-8°C,290°22 Km/h,31%,2016-01-13
14:51,-2°C,-5°C,"Variable à 7 Km/h, 37 km/h Rafales de Vent",31%,2016-01-13
15:51,-2°C,-7°C,280°15 Km/h,34%,2016-01-13
16:51,-3°C,-8°C,290°15 Km/h,36%,2016-01-13
17:51,-3°C,-8°C,290°13 Km/h,36%,2016-01-13
18:51,-4°C,-4°C,Calme,39%,2016-01-13
19:51,-4°C,-10°C,300°17 Km/h,39%,2016-01-13
20:51,-4°C,-10°C,280°17 Km/h,39%,2016-01-13
21:51,-4°C,-9°C,280°15 Km/h,39%,2016-01-13
